,year,dis,ring_area,water_area,urban_area,dens
32,1995,17000,102433899.77492987,23708563.344586767,9799596.189912925,0.12447830183086862
33,1995,18000,108642001.52416307,24904448.716895223,11220151.48925973,0.13399187238113194
34,1995,19000,114850100.91037825,19585267.67874852,9435147.39323037,0.0990412419060187
35,2000,1000,3104060.6292272145,425411.1490928499,2336375.2248887015,0.8722213347494446
36,2000,2000,9312181.820186334,854005.5045611209,7730441.728519456,0.9139608161440929
37,2000,3000,15520302.80859953,3458879.9899361404,10221599.426838234,0.8474621593583237
38,2000,4000,21728423.459530592,5203606.218790932,13554431.704131244,0.8202469961794591
39,2000,5000,27936543.637851108,4130958.836435356,20013189.990563724,0.8406930624688334
40,2000,6000,34144663.20869806,6708886.041162834,19371767.10050048,0.7060768492981896
41,2000,7000,40352782.03686261,8710359.830939077,18952480.56300384,0.598957957126806
42,2000,8000,46560899.98756978,7438234.759413293,21025241.439056996,0.5374184329324573
43,2000,9000,52769016.92554446,8608694.798731662,19015830.853988353,0.4306089706361657
44,2000,10000,58977132.71607283,12491464.932030763,13442762.503324613,0.2891807979563831
45,2000,11000,65185247.22380533,16925824.988855228,11473443.991431378,0.23774515856350556
46,2000,12000,71393360.31407182,28594777.065467462,10738795.733037977,0.25091474805741765
47,2000,13000,77601471.85150968,30409344.49426295,9711429.19255108,0.20578494203143424
48,2000,14000,83809581.70149468,23236052.049456913,12849504.167602059,0.21213068218767378
49,2000,15000,90017689.72862314,23769821.37908335,11467767.271917364,0.17310394368329934
50,2000,16000,96225795.79820132,26926407.919360157,10771733.735431742,0.155437646206405
51,2000,17000,102433899.77492987,32205616.545515683,11741965.146672267,0.16719709790306111
52,2000,18000,108642001.52416307,33365419.218901,13297132.91105311,0.17664368524504068
53,2000,19000,114850100.91037825,27166833.092201397,11961313.167663814,0.13641500214690014
54,2000,20000,121058197.79923145,30057046.515769575,8005940.294121715,0.08797625284084375
55,2005,1000,3104060.6292272145,572170.711117015,2367359.873415002,0.9350169043613072
56,2005,2000,9312181.820186334,1097792.2779466815,7797515.282267493,0.949250731557284
57,2005,3000,15520302.80859953,3585634.028222894,10403674.951745844,0.8717187835871825
58,2005,4000,21728423.459530592,5264479.791843551,13852835.349185724,0.8414044428719707
59,2005,5000,27936543.637851108,4187817.5857821605,20992339.930918016,0.8839354113097447
60,2005,6000,34144663.20869806,6689117.445492259,22072550.08203125,0.8039377644283254
61,2005,7000,40352782.03686261,8612741.205902215,21932038.801674515,0.6909896215470902
62,2005,8000,46560899.98756978,7426515.953243719,24998180.09265711,0.6387779112795127
63,2005,9000,52769016.92554446,8148993.64692383,23702006.108980075,0.5311966325292511
64,2005,10000,58977132.71607283,11701595.65638452,18186691.583108105,0.3846956103353469
65,2005,11000,65185247.22380533,16689684.600233126,16256742.140548643,0.335221229759416
66,2005,12000,71393360.31407182,28402605.412563153,14633295.843343105,0.34038238865234677
67,2005,13000,77601471.85150968,30912909.347482007,13939457.804993162,0.29856258272656505
68,2005,14000,83809581.70149468,24637001.287460286,18849265.29861606,0.31854729279552324
69,2005,15000,90017689.72862314,24223963.905773185,17880402.262606036,0.2717645495673727
70,2005,16000,96225795.79820132,28104086.7058551,16575850.311106008,0.24332698829730887
71,2005,17000,102433899.77492987,33637248.21343945,17259538.75876178,0.25087759893859385
72,2005,18000,108642001.52416307,35075989.753623776,17546934.735495657,0.23851958687425562
73,2005,19000,114850100.91037825,28693870.760661066,17921208.302354522,0.20800826906205286
74,2005,20000,121058197.79923145,32470644.043486223,12862214.49825727,0.14519211732294965
75,2005,21000,127266292.05493447,36421525.98241493,9599288.83149988,0.10566694424461352
76,2005,22000,133474383.5432525,35190061.12212681,8901972.018108293,0.09057367237030331
77,2010,1000,3104060.6292272145,526187.288535204,2376808.799153168,0.922003715867255
78,2010,2000,9312181.820186334,984017.3329790896,7839808.738487335,0.9413609385993679
79,2010,3000,15520302.80859953,3421731.765048397,10513250.4378619,0.8689662936240515
80,2010,4000,21728423.459530592,5121579.935697669,14127046.577448826,0.8506762020834799
81,2010,5000,27936543.637851108,3982916.8527525677,21397623.13808833,0.8932936682222882
82,2010,6000,34144663.20869806,6325141.812926055,23546359.048563883,0.8463969855406084
83,2010,7000,40352782.03686261,7640112.03113128,24631508.63011954,0.7529653992108881
84,2010,8000,46560899.98756978,6314735.369812246,28745585.49430699,0.7142440967312393
85,2010,9000,52769016.92554446,6879178.156314624,28327533.852620676,0.6172942553813224
86,2010,10000,58977132.71607283,9878845.439592903,23750318.872903276,0.483730088977679
87,2010,11000,65185247.22380533,14501961.631202847,22758937.442998663,0.4490422666347515
88,2010,12000,71393360.31407182,25714444.74236124,19285314.392572153,0.422192912226571
89,2010,13000,77601471.85150968,27578264.87419529,19432843.83288766,0.38847656931912605
90,2010,14000,83809581.70149468,21249314.291851223,25559038.002184574,0.4085506514034614
91,2010,15000,90017689.72862314,21809034.18702801,25613737.639416028,0.3755203417518794
92,2010,16000,96225795.79820132,25170583.074803982,24746865.37878204,0.3482765645233695
93,2010,17000,102433899.77492987,30142112.192713827,25403359.8439221,0.3514003553312519
94,2010,18000,108642001.52416307,33090176.861736916,24064335.474461943,0.31851428581618035
95,2010,19000,114850100.91037825,27022207.356164813,25328183.847959034,0.2883842800160604
96,2010,20000,121058197.79923145,30144409.256558523,20386296.3942457,0.2242376730860448
97,2010,21000,127266292.05493447,34673604.677866995,16725946.374009322,0.18064003592309444
98,2010,22000,133474383.5432525,33180767.35817607,16662655.235892257,0.1661387421223689
99,2010,23000,139682472.12843448,30367532.652800202,17975297.18312055,0.16443587005897897
